NOMBRE,TIPO,AÑO,MES,AUTOS,MOTOS,AUTOBUS DE 2 EJES,AUTOBUS DE 3 EJES,AUTOBUS DE 4 EJES,CAMIONES DE 2 EJES,CAMIONES DE 3 EJES,CAMIONES DE 4 EJES,CAMIONES DE 5 EJES,CAMIONES DE 6 EJES,CAMIONES DE 7 EJES,CAMIONES DE 8 EJES,CAMIONES DE 9 EJES,TRICICLOS,TOTAL,EJE EXTRA AUTOBUS,EJE EXTRA CAMION,PEATONES
Chapalilla - Compostela ,CAMINO,2021,ENERO,"138,650","2,112","5,740","1,281",0,"5,201","4,719",455,"6,091","2,094",21,1,903,0,"167,268",691,0,0
Cuauhtemoc-Osiris ,CAMINO,2021,ENERO,"136,498",740,"2,706","4,360",0,"13,266","9,690","2,813","52,299","9,886","2,066",109,"24,905",0,"259,338","2,414",1,0
Culiacán,PUENTE NACIONAL,2021,ENERO,"225,656","3,055","5,814",529,0,"7,695","4,131",606,"7,171","1,519",1,4,505,0,"256,686","2,108",0,0
Sinaloa,PUENTE NACIONAL,2021,ENERO,"233,139","1,547","11,335","3,479",0,"13,660","11,768","2,326","58,120","6,363",803,64,"22,163",0,"364,767","3,307",4,0
Pánuco,PUENTE NACIONAL,2021,ENERO,"125,150","5,428","8,599",304,0,"5,421","2,931",370,"2,716","1,344",37,19,"2,264",0,"154,583",879,129,0
Alvarado,PUENTE NACIONAL,2021,ENERO,"109,451","7,594","6,443",425,0,"4,911","3,979",137,"2,403","1,144",0,0,373,0,"136,860",814,2,0
Papaloapan,PUENTE NACIONAL,2021,ENERO,"42,572","8,137","2,773",94,0,"4,186","4,277",116,"2,999",571,2,2,786,0,"66,515","5,145",615,0
Caracol,PUENTE NACIONAL,2021,ENERO,"137,476","15,215","9,837",220,1,"7,541","4,506",260,"5,262","1,025",41,151,"11,516",0,"193,051","1,206",407,0
Nautla,PUENTE NACIONAL,2021,ENERO,"108,245","2,878","3,711","1,275",0,"6,992","8,023",565,"12,224","3,328",150,26,"7,571",0,"154,988","1,236",16,0
Grijalva,PUENTE NACIONAL,2021,ENERO,"337,781","13,307","9,065","1,386",0,"14,323","9,353","1,049","19,374","7,622",325,56,"11,535",0,"425,176","3,279",13,0
Usumacinta,PUENTE NACIONAL,2021,ENERO,"75,262","8,134","2,576",901,0,"4,553","4,511",497,"12,577","2,288",322,41,"10,078",0,"121,740","1,220",0,0
Cadereyta,PUENTE NACIONAL,2021,ENERO,"110,508","1,913",150,23,1,"6,106","5,695",828,"13,945","5,492",331,314,"6,283",0,"151,589",676,23,0
La Piedad,PUENTE NACIONAL,2021,ENERO,"55,272","1,004","3,660","1,249",0,"9,372","12,199",946,"27,427","3,272",43,22,"1,530",0,"115,996",500,1,0
Tecolutla,PUENTE NACIONAL,2021,ENERO,"97,378","8,970","4,012","1,073",0,"7,144","5,899",367,"9,797","2,466",36,28,"4,921",0,"142,091",634,17,0
San Juan,PUENTE NACIONAL,2021,ENERO,"50,812",102,454,2,0,"2,798","1,462",172,"4,460",778,22,28,"5,616",0,"66,706","1,101",857,0
Tampico,PUENTE NACIONAL,2021,ENERO,"234,057","1,917","7,129","1,852",0,"7,129","3,220",280,"1,649",840,26,22,985,0,"259,106",856,24,0
Tlacotalpan,PUENTE NACIONAL,2021,ENERO,"34,333","3,672",964,11,0,"1,053","1,019",49,422,122,0,0,40,0,"41,685",506,0,0
